"JOURNAL_ID","ISBN","TITLE","PUBLISHER_ID","PUBLISH_INTERVAL_ID","BORC_VERME","DIAGONAL","PUB_YEAR","PUB_CITY","EDITOR","PAGE_NUM","SERIYA","OLD_ID","PARALLEL_TITLE","TITLE_RELATED_INFO","PUB_INFO","ISSUE_NUMBER","ISSUE_DATE","TEMP_PUBLISHER_TITLE","LANGUAGE","TYPE"
343,"","Программа Малых Грантов",13844,,1,"",2000,"Алматы","",44,"",,"","","",,,"","","CR"
344,"","Тоталитарный социализм: реальность и последствия",13400,,1,"",1997,"Алматы","",28,"",,"","","",,,"","","CR"
345,"","Коллективизация в Казахстан: трагедия крестьянства",13898,,1,"",1992,"Алматы","",35,"",,"","","",,,"","","CR"
346,"","Информатика. Курс лекций",13420,,1,"",2005,"Караганда","",42,"",,"","","",,,"","","CR"
347,"","1986 желтоқсан...Дақпырт және шындық",12266,,1,"",1996,"Алматы","",37,"",,"","","",,,"","","CR"
348,"5853021967","О социальной политике современной России",15190,,1,"",2003,"Москва","",48,"",,"","","",,,"","","CR"
349,"5090035970","Задачи повышенной трудности по алгебре и началам анализа",14225,,1,"",1990,"Москва","",48,"",,"","","",,,"","","CR"
350,"","Қазақстандағы күшпен коллективтендіру: қорлық пен зорлық",15426,,1,"",1992,"Алматы","",35,"",,"","","",,,"","","CR"
351,"","Жарылғап батыр",,,1,"",,"Алматы","",26,"",,"","","",,,"","","CR"
352,"","Депортация народов - преступление тоталитарного режима",13400,,1,"",1997,"Алматы","",15,"",,"","","",,,"","","CR"
353,"","The witches of pendle",12743,,1,"",1994,"Bristol","",44,"",,"","","",,,"","","CR"
354,"","Қазақстан Шыңғыс хан мен оның мұрагерлері дәуірінде 12-14 ғасырлар",12812,,1,"",1992,"Алматы","",29,"",,"","","",,,"","","CR"
355,"","Турар Рыскулов",14754,,1,"",1974,"Алматы","",39,"",,"","","",,,"","","CR"
356,"","Задачи повышенной трудности по алгебре и началам анализа",14225,,1,"",1991,"Москва","",46,"",,"","","",,,"","","CR"
357,"9786012391367","Права и обязанности работника и работодателя",13836,,1,"",2011,"Алматы","",80,"",,"","","",,,"","","CR"
359,"15","la",15781,,1,"",,"","",,"",,"","","",,,"","","CR"
